Epoch:188   Accuracy:92.40
Epoch:189   Accuracy:92.15
Epoch:190   Accuracy:92.32
Epoch:191   Accuracy:92.21
Epoch:192   Accuracy:92.07
Epoch:193   Accuracy:92.11
Epoch:194   Accuracy:92.09
Epoch:195   Accuracy:91.94
Epoch:196   Accuracy:92.30
Epoch:197   Accuracy:92.10
Epoch:198   Accuracy:92.00
Epoch:199   Accuracy:91.96
Epoch:200   Accuracy:92.43
Epoch:201   Accuracy:92.56
Epoch:202   Accuracy:92.02
Epoch:203   Accuracy:91.88
Epoch:204   Accuracy:92.50
Epoch:205   Accuracy:92.05
Epoch:206   Accuracy:92.44
Epoch:207   Accuracy:92.40
Epoch:208   Accuracy:92.47
Epoch:209   Accuracy:92.50
Epoch:210   Accuracy:92.39
Epoch:211   Accuracy:93.02
Epoch:212   Accuracy:92.10
Epoch:213   Accuracy:92.37
Epoch:214   Accuracy:92.37
Epoch:215   Accuracy:91.78
Epoch:216   Accuracy:92.43
Epoch:217   Accuracy:92.59
Epoch:218   Accuracy:92.33
Epoch:219   Accuracy:92.03
Epoch:220   Accuracy:92.64
Epoch:221   Accuracy:92.61
Epoch:222   Accuracy:91.73
Epoch:223   Accuracy:91.84
Epoch:224   Accuracy:92.37
Epoch:225   Accuracy:92.22
Epoch:226   Accuracy:92.05
Epoch:227   Accuracy:92.56
Epoch:228   Accuracy:92.35
Epoch:229   Accuracy:92.62
Epoch:230   Accuracy:92.56
Epoch:231   Accuracy:92.61
Epoch:232   Accuracy:92.53
Epoch:233   Accuracy:92.08
Epoch:234   Accuracy:92.39
Epoch:235   Accuracy:91.59
Epoch:236   Accuracy:92.70
Epoch:237   Accuracy:92.34
Epoch:238   Accuracy:92.29
Epoch:239   Accuracy:92.29
Epoch:240   Accuracy:92.37
Epoch:241   Accuracy:92.55
Epoch:242   Accuracy:92.69
Epoch:243   Accuracy:92.67
Epoch:244   Accuracy:92.45
Epoch:245   Accuracy:92.42
Epoch:246   Accuracy:92.39
Epoch:247   Accuracy:92.58
Epoch:248   Accuracy:92.84
Epoch:249   Accuracy:92.18
Epoch:250   Accuracy:92.31
Epoch:251   Accuracy:92.86
Epoch:252   Accuracy:92.47
Epoch:253   Accuracy:92.68
Epoch:254   Accuracy:92.28
Epoch:255   Accuracy:92.51
Epoch:256   Accuracy:92.41
Epoch:257   Accuracy:92.32
Epoch:258   Accuracy:92.42
Epoch:259   Accuracy:92.26
Epoch:260   Accuracy:92.84
Epoch:261   Accuracy:92.51
Epoch:262   Accuracy:92.54
Epoch:263   Accuracy:91.73
Epoch:264   Accuracy:92.31
Epoch:265   Accuracy:92.35
Epoch:266   Accuracy:92.33
Epoch:267   Accuracy:92.78
Epoch:268   Accuracy:92.48
Epoch:269   Accuracy:92.69
Epoch:270   Accuracy:92.52
Epoch:271   Accuracy:92.18
Epoch:272   Accuracy:92.10
Epoch:273   Accuracy:92.37
Epoch:274   Accuracy:92.73
