Epoch:0   Accuracy:20.86
Epoch:1   Accuracy:27.47
Epoch:2   Accuracy:26.33
Epoch:3   Accuracy:35.00
Epoch:4   Accuracy:34.17
Epoch:5   Accuracy:33.99
Epoch:6   Accuracy:36.72
Epoch:7   Accuracy:38.04
Epoch:8   Accuracy:38.84
Epoch:9   Accuracy:36.23
Epoch:10   Accuracy:41.09
Epoch:11   Accuracy:40.84
Epoch:12   Accuracy:42.50
Epoch:13   Accuracy:42.29
Epoch:14   Accuracy:47.60
Epoch:15   Accuracy:47.76
Epoch:16   Accuracy:46.88
Epoch:17   Accuracy:46.23
Epoch:18   Accuracy:45.39
Epoch:19   Accuracy:46.77
Epoch:20   Accuracy:48.58
Epoch:21   Accuracy:46.35
Epoch:22   Accuracy:48.29
Epoch:23   Accuracy:47.60
Epoch:24   Accuracy:47.65
Epoch:25   Accuracy:47.77
Epoch:26   Accuracy:49.55
Epoch:27   Accuracy:50.14
Epoch:28   Accuracy:50.41
Epoch:29   Accuracy:51.71
Epoch:30   Accuracy:52.68
Epoch:31   Accuracy:52.64
Epoch:32   Accuracy:51.26
Epoch:33   Accuracy:53.24
Epoch:34   Accuracy:53.90
Epoch:35   Accuracy:53.90
Epoch:36   Accuracy:53.21
Epoch:37   Accuracy:54.21
Epoch:38   Accuracy:54.37
Epoch:39   Accuracy:55.27
Epoch:40   Accuracy:55.18
Epoch:41   Accuracy:56.29
Epoch:42   Accuracy:57.13
Epoch:43   Accuracy:57.95
Epoch:44   Accuracy:58.59
Epoch:45   Accuracy:57.82
Epoch:46   Accuracy:57.50
Epoch:47   Accuracy:58.03
Epoch:48   Accuracy:57.78
Epoch:49   Accuracy:58.40
Epoch:50   Accuracy:58.83
Epoch:51   Accuracy:58.49
Epoch:52   Accuracy:58.51
Epoch:53   Accuracy:59.40
Epoch:54   Accuracy:59.58
Epoch:55   Accuracy:59.47
Epoch:56   Accuracy:58.54
Epoch:57   Accuracy:60.10
Epoch:58   Accuracy:59.21
Epoch:59   Accuracy:60.48
Epoch:60   Accuracy:59.86
Epoch:61   Accuracy:60.83
Epoch:62   Accuracy:59.40
Epoch:63   Accuracy:61.30
Epoch:64   Accuracy:60.61
Epoch:65   Accuracy:60.82
Epoch:66   Accuracy:60.02
Epoch:67   Accuracy:60.56
Epoch:68   Accuracy:60.83
Epoch:69   Accuracy:61.32
Epoch:70   Accuracy:60.52
Epoch:71   Accuracy:60.42
Epoch:72   Accuracy:61.55
Epoch:73   Accuracy:61.13
Epoch:74   Accuracy:61.75
Epoch:75   Accuracy:62.22
Epoch:76   Accuracy:63.76
Epoch:77   Accuracy:63.20
Epoch:78   Accuracy:62.56
Epoch:79   Accuracy:62.75
Epoch:80   Accuracy:62.97
Epoch:81   Accuracy:64.03
Epoch:82   Accuracy:64.74
Epoch:83   Accuracy:65.44
Epoch:84   Accuracy:65.30
Epoch:85   Accuracy:66.60
Epoch:86   Accuracy:66.27
Epoch:87   Accuracy:65.54
Epoch:88   Accuracy:65.45
Epoch:89   Accuracy:66.72
Epoch:90   Accuracy:66.61
Epoch:91   Accuracy:66.59
Epoch:92   Accuracy:67.10
Epoch:93   Accuracy:66.29
Epoch:94   Accuracy:66.54
Epoch:95   Accuracy:66.82
Epoch:96   Accuracy:67.26
Epoch:97   Accuracy:66.00
Epoch:98   Accuracy:67.96
Epoch:99   Accuracy:68.14
Epoch:100   Accuracy:67.43
Epoch:101   Accuracy:68.16
Epoch:102   Accuracy:67.91
Epoch:103   Accuracy:67.81
Epoch:104   Accuracy:67.79
Epoch:105   Accuracy:67.19
Epoch:106   Accuracy:68.12
Epoch:107   Accuracy:68.14
Epoch:108   Accuracy:67.55
Epoch:109   Accuracy:68.44
Epoch:110   Accuracy:68.47
Epoch:111   Accuracy:67.87
Epoch:112   Accuracy:69.01
Epoch:113   Accuracy:68.95
Epoch:114   Accuracy:69.84
Epoch:115   Accuracy:69.14
Epoch:116   Accuracy:68.86
Epoch:117   Accuracy:68.92
Epoch:118   Accuracy:67.90
Epoch:119   Accuracy:70.67
Epoch:120   Accuracy:69.74
Epoch:121   Accuracy:69.64
Epoch:122   Accuracy:69.76
Epoch:123   Accuracy:68.81
Epoch:124   Accuracy:70.17
Epoch:125   Accuracy:69.94
Epoch:126   Accuracy:71.36
Epoch:127   Accuracy:70.48
Epoch:128   Accuracy:69.49
Epoch:129   Accuracy:70.59
Epoch:130   Accuracy:71.30
Epoch:131   Accuracy:71.04
Epoch:132   Accuracy:71.67
Epoch:133   Accuracy:71.41
Epoch:134   Accuracy:70.95
Epoch:135   Accuracy:71.23
Epoch:136   Accuracy:70.89
Epoch:137   Accuracy:71.97
Epoch:138   Accuracy:71.48
Epoch:139   Accuracy:70.84
Epoch:140   Accuracy:72.63
Epoch:141   Accuracy:70.46
Epoch:142   Accuracy:71.90
Epoch:143   Accuracy:70.82
Epoch:144   Accuracy:71.02
Epoch:145   Accuracy:70.76
Epoch:146   Accuracy:71.45
Epoch:147   Accuracy:70.93
Epoch:148   Accuracy:71.64
Epoch:149   Accuracy:71.15
Epoch:150   Accuracy:72.00
Epoch:151   Accuracy:72.05
Epoch:152   Accuracy:70.88
Epoch:153   Accuracy:71.78
Epoch:154   Accuracy:70.54
Epoch:155   Accuracy:71.05
Epoch:156   Accuracy:71.34
Epoch:157   Accuracy:72.44
Epoch:158   Accuracy:73.81
Epoch:159   Accuracy:71.30
Epoch:160   Accuracy:72.84
Epoch:161   Accuracy:70.89
Epoch:162   Accuracy:70.48
Epoch:163   Accuracy:72.01
Epoch:164   Accuracy:72.76
Epoch:165   Accuracy:72.85
Epoch:166   Accuracy:72.94
Epoch:167   Accuracy:73.25
Epoch:168   Accuracy:70.93
Epoch:169   Accuracy:71.85
Epoch:170   Accuracy:71.01
Epoch:171   Accuracy:72.87
Epoch:172   Accuracy:72.81
Epoch:173   Accuracy:71.84
Epoch:174   Accuracy:73.00
Epoch:175   Accuracy:73.27
Epoch:176   Accuracy:73.28
Epoch:177   Accuracy:72.55
Epoch:178   Accuracy:72.14
Epoch:179   Accuracy:72.30
Epoch:180   Accuracy:73.29
Epoch:181   Accuracy:72.49
Epoch:182   Accuracy:72.68
Epoch:183   Accuracy:73.19
Epoch:184   Accuracy:73.81
Epoch:185   Accuracy:73.74
Epoch:186   Accuracy:72.94
Epoch:187   Accuracy:73.66
Epoch:188   Accuracy:74.07
Epoch:189   Accuracy:74.05
Epoch:190   Accuracy:73.29
Epoch:191   Accuracy:73.60
Epoch:192   Accuracy:73.93
Epoch:193   Accuracy:72.40
Epoch:194   Accuracy:74.03
Epoch:195   Accuracy:73.53
Epoch:196   Accuracy:73.56
Epoch:197   Accuracy:73.35
Epoch:198   Accuracy:74.48
Epoch:199   Accuracy:73.96
Epoch:200   Accuracy:74.00
Epoch:201   Accuracy:74.39
Epoch:202   Accuracy:74.51
Epoch:203   Accuracy:74.87
Epoch:204   Accuracy:75.24
Epoch:205   Accuracy:74.32
Epoch:206   Accuracy:74.45
Epoch:207   Accuracy:73.56
Epoch:208   Accuracy:73.45
Epoch:209   Accuracy:73.27
Epoch:210   Accuracy:74.50
Epoch:211   Accuracy:74.04
Epoch:212   Accuracy:74.48
Epoch:213   Accuracy:74.66
Epoch:214   Accuracy:73.62
Epoch:215   Accuracy:74.19
Epoch:216   Accuracy:74.52
Epoch:217   Accuracy:74.48
Epoch:218   Accuracy:74.05
Epoch:219   Accuracy:75.65
Epoch:220   Accuracy:74.15
Epoch:221   Accuracy:73.36
Epoch:222   Accuracy:74.10
Epoch:223   Accuracy:72.67
Epoch:224   Accuracy:74.11
Epoch:225   Accuracy:74.43
Epoch:226   Accuracy:73.30
Epoch:227   Accuracy:73.39
Epoch:228   Accuracy:75.32
Epoch:229   Accuracy:76.05
Epoch:230   Accuracy:75.31
Epoch:231   Accuracy:76.34
Epoch:232   Accuracy:74.72
Epoch:233   Accuracy:73.91
Epoch:234   Accuracy:73.74
Epoch:235   Accuracy:73.95
Epoch:236   Accuracy:74.23
Epoch:237   Accuracy:74.35
Epoch:238   Accuracy:75.59
Epoch:239   Accuracy:75.08
Epoch:240   Accuracy:74.50
Epoch:241   Accuracy:74.04
Epoch:242   Accuracy:75.69
Epoch:243   Accuracy:76.17
Epoch:244   Accuracy:74.56
Epoch:245   Accuracy:75.89
Epoch:246   Accuracy:74.16
Epoch:247   Accuracy:74.50
Epoch:248   Accuracy:74.94
Epoch:249   Accuracy:74.81
Epoch:250   Accuracy:74.56
Epoch:251   Accuracy:75.32
Epoch:252   Accuracy:75.87
Epoch:253   Accuracy:74.88
Epoch:254   Accuracy:75.07
Epoch:255   Accuracy:75.47
Epoch:256   Accuracy:75.91
Epoch:257   Accuracy:76.70
Epoch:258   Accuracy:75.38
Epoch:259   Accuracy:74.96
Epoch:260   Accuracy:75.94
Epoch:261   Accuracy:75.99
Epoch:262   Accuracy:74.22
Epoch:263   Accuracy:74.14
Epoch:264   Accuracy:76.20
Epoch:265   Accuracy:74.72
Epoch:266   Accuracy:75.80
Epoch:267   Accuracy:75.61
Epoch:268   Accuracy:75.91
Epoch:269   Accuracy:75.35
Epoch:270   Accuracy:74.65
Epoch:271   Accuracy:74.54
Epoch:272   Accuracy:75.79
Epoch:273   Accuracy:76.29
Epoch:274   Accuracy:75.98
Epoch:275   Accuracy:74.54
Epoch:276   Accuracy:73.75
Epoch:277   Accuracy:74.79
Epoch:278   Accuracy:74.77
Epoch:279   Accuracy:73.57
Epoch:280   Accuracy:74.60
Epoch:281   Accuracy:75.16
Epoch:282   Accuracy:74.77
Epoch:283   Accuracy:74.97
Epoch:284   Accuracy:76.10
Epoch:285   Accuracy:76.10
Epoch:286   Accuracy:74.90
Epoch:287   Accuracy:75.15
Epoch:288   Accuracy:74.84
Epoch:289   Accuracy:73.91
Epoch:290   Accuracy:75.65
Epoch:291   Accuracy:76.11
Epoch:292   Accuracy:75.26
Epoch:293   Accuracy:76.03
Epoch:294   Accuracy:76.35
Epoch:295   Accuracy:74.21
Epoch:296   Accuracy:73.96
Epoch:297   Accuracy:74.36
Epoch:298   Accuracy:75.52
Epoch:299   Accuracy:74.54
