Numer of labeled samples:14368   AUC:0.925
Numer of labeled samples:14636   AUC:0.924
Numer of labeled samples:14377   AUC:0.924
Numer of labeled samples:14605   AUC:0.925
Numer of labeled samples:14306   AUC:0.925
Numer of labeled samples:14552   AUC:0.926
Numer of labeled samples:14324   AUC:0.925
Numer of labeled samples:14584   AUC:0.924
Numer of labeled samples:14304   AUC:0.925
Numer of labeled samples:14512   AUC:0.926
Numer of labeled samples:14352   AUC:0.924
Numer of labeled samples:14446   AUC:0.927
Numer of labeled samples:14404   AUC:0.924
Numer of labeled samples:14468   AUC:0.926
Numer of labeled samples:14360   AUC:0.926
Numer of labeled samples:14508   AUC:0.926
Numer of labeled samples:14281   AUC:0.926
Numer of labeled samples:14446   AUC:0.928
Numer of labeled samples:14265   AUC:0.926
Numer of labeled samples:14365   AUC:0.927
Numer of labeled samples:14196   AUC:0.925
Numer of labeled samples:14267   AUC:0.927
Numer of labeled samples:14069   AUC:0.926
Numer of labeled samples:14235   AUC:0.928
Numer of labeled samples:14025   AUC:0.924
Numer of labeled samples:14127   AUC:0.927
Numer of labeled samples:14002   AUC:0.926
Numer of labeled samples:14097   AUC:0.927
Numer of labeled samples:13996   AUC:0.928
Numer of labeled samples:14050   AUC:0.927
Numer of labeled samples:13884   AUC:0.929
Numer of labeled samples:13952   AUC:0.927
Numer of labeled samples:13873   AUC:0.930
Numer of labeled samples:13839   AUC:0.925
Numer of labeled samples:13864   AUC:0.929
Numer of labeled samples:13767   AUC:0.928
Numer of labeled samples:13845   AUC:0.929
Numer of labeled samples:13769   AUC:0.928
Numer of labeled samples:13808   AUC:0.927
Numer of labeled samples:13752   AUC:0.928
Numer of labeled samples:13778   AUC:0.927
Numer of labeled samples:13736   AUC:0.927
Numer of labeled samples:13671   AUC:0.927
Numer of labeled samples:13676   AUC:0.928
Numer of labeled samples:13592   AUC:0.927
Numer of labeled samples:13674   AUC:0.928
Numer of labeled samples:13538   AUC:0.927
Numer of labeled samples:13595   AUC:0.927
Numer of labeled samples:13468   AUC:0.928
Numer of labeled samples:13536   AUC:0.926
Numer of labeled samples:13364   AUC:0.928
Numer of labeled samples:13478   AUC:0.929
Numer of labeled samples:13268   AUC:0.928
Numer of labeled samples:13409   AUC:0.929
Numer of labeled samples:13262   AUC:0.929
Numer of labeled samples:13331   AUC:0.929
Numer of labeled samples:13086   AUC:0.929
Numer of labeled samples:13267   AUC:0.930
Numer of labeled samples:13034   AUC:0.930
Numer of labeled samples:13083   AUC:0.932
Numer of labeled samples:12994   AUC:0.931
Numer of labeled samples:13057   AUC:0.930
Numer of labeled samples:12770   AUC:0.931
Numer of labeled samples:12756   AUC:0.930
Numer of labeled samples:12655   AUC:0.930
Numer of labeled samples:12575   AUC:0.930
Numer of labeled samples:12542   AUC:0.928
Numer of labeled samples:12427   AUC:0.929
Numer of labeled samples:12450   AUC:0.928
Numer of labeled samples:12397   AUC:0.928
Numer of labeled samples:12376   AUC:0.927
Numer of labeled samples:12292   AUC:0.930
Numer of labeled samples:12326   AUC:0.928
Numer of labeled samples:12219   AUC:0.930
Numer of labeled samples:12273   AUC:0.929
Numer of labeled samples:12154   AUC:0.929
Numer of labeled samples:12091   AUC:0.930
Numer of labeled samples:12034   AUC:0.930
Numer of labeled samples:11937   AUC:0.930
Numer of labeled samples:12017   AUC:0.930
Numer of labeled samples:11859   AUC:0.931
Numer of labeled samples:11872   AUC:0.930
Numer of labeled samples:11751   AUC:0.933
Numer of labeled samples:11876   AUC:0.930
Numer of labeled samples:11674   AUC:0.936
Numer of labeled samples:11785   AUC:0.931
Numer of labeled samples:11628   AUC:0.936
Numer of labeled samples:11695   AUC:0.932
Numer of labeled samples:11583   AUC:0.936
Numer of labeled samples:11597   AUC:0.933
Numer of labeled samples:11572   AUC:0.936
Numer of labeled samples:11558   AUC:0.933
Numer of labeled samples:11454   AUC:0.935
Numer of labeled samples:11467   AUC:0.933
Numer of labeled samples:11391   AUC:0.934
Numer of labeled samples:11353   AUC:0.934
Numer of labeled samples:11337   AUC:0.936
Numer of labeled samples:11301   AUC:0.934
Numer of labeled samples:11314   AUC:0.937
Numer of labeled samples:11279   AUC:0.934
Numer of labeled samples:11244   AUC:0.937
Numer of labeled samples:11237   AUC:0.934
Numer of labeled samples:11222   AUC:0.937
Numer of labeled samples:11213   AUC:0.934
Numer of labeled samples:11152   AUC:0.937
Numer of labeled samples:11099   AUC:0.932
Numer of labeled samples:11173   AUC:0.936
Numer of labeled samples:11023   AUC:0.933
Numer of labeled samples:11040   AUC:0.935
Numer of labeled samples:10969   AUC:0.933
Numer of labeled samples:11016   AUC:0.936
Numer of labeled samples:10916   AUC:0.936
Numer of labeled samples:10958   AUC:0.936
Numer of labeled samples:10855   AUC:0.935
Numer of labeled samples:10926   AUC:0.936
Numer of labeled samples:10803   AUC:0.937
Numer of labeled samples:10874   AUC:0.935
Numer of labeled samples:10763   AUC:0.937
Numer of labeled samples:10801   AUC:0.936
Numer of labeled samples:10748   AUC:0.937
Numer of labeled samples:10730   AUC:0.936
Numer of labeled samples:10741   AUC:0.934
Numer of labeled samples:10669   AUC:0.937
Numer of labeled samples:10678   AUC:0.935
Numer of labeled samples:10604   AUC:0.936
Numer of labeled samples:10633   AUC:0.934
Numer of labeled samples:10567   AUC:0.937
Numer of labeled samples:10572   AUC:0.934
Numer of labeled samples:10538   AUC:0.937
Numer of labeled samples:10550   AUC:0.932
Numer of labeled samples:10525   AUC:0.937
Numer of labeled samples:10506   AUC:0.934
Numer of labeled samples:10507   AUC:0.936
Numer of labeled samples:10464   AUC:0.936
Numer of labeled samples:10486   AUC:0.937
Numer of labeled samples:10446   AUC:0.938
Numer of labeled samples:10455   AUC:0.936
Numer of labeled samples:10433   AUC:0.939
Numer of labeled samples:10396   AUC:0.936
Numer of labeled samples:10398   AUC:0.939
Numer of labeled samples:10366   AUC:0.935
Numer of labeled samples:10364   AUC:0.937
Numer of labeled samples:10348   AUC:0.935
Numer of labeled samples:10322   AUC:0.937
Numer of labeled samples:10322   AUC:0.936
Numer of labeled samples:10301   AUC:0.935
Numer of labeled samples:10266   AUC:0.937
Numer of labeled samples:10280   AUC:0.935
Numer of labeled samples:10242   AUC:0.935
Numer of labeled samples:10240   AUC:0.935
Numer of labeled samples:10222   AUC:0.935
Numer of labeled samples:10208   AUC:0.938
Numer of labeled samples:10215   AUC:0.935
Numer of labeled samples:10236   AUC:0.938
Numer of labeled samples:10175   AUC:0.933
Numer of labeled samples:10184   AUC:0.937
Numer of labeled samples:10143   AUC:0.930
Numer of labeled samples:10138   AUC:0.937
Numer of labeled samples:10138   AUC:0.932
Numer of labeled samples:10121   AUC:0.939
Numer of labeled samples:10119   AUC:0.935
Numer of labeled samples:10090   AUC:0.937
Numer of labeled samples:10113   AUC:0.935
Numer of labeled samples:10052   AUC:0.938
Numer of labeled samples:10067   AUC:0.936
Numer of labeled samples:10019   AUC:0.941
Numer of labeled samples:10041   AUC:0.935
Numer of labeled samples:10017   AUC:0.939
Numer of labeled samples:10015   AUC:0.934
Numer of labeled samples:9997   AUC:0.936
Numer of labeled samples:9993   AUC:0.929
Numer of labeled samples:9962   AUC:0.935
Numer of labeled samples:9986   AUC:0.930
Numer of labeled samples:9957   AUC:0.935
Numer of labeled samples:9965   AUC:0.932
Numer of labeled samples:9944   AUC:0.935
Numer of labeled samples:9942   AUC:0.932
Numer of labeled samples:9939   AUC:0.936
Numer of labeled samples:9926   AUC:0.932
Numer of labeled samples:9928   AUC:0.937
Numer of labeled samples:9906   AUC:0.934
Numer of labeled samples:9925   AUC:0.940
Numer of labeled samples:9902   AUC:0.935
Numer of labeled samples:9912   AUC:0.938
Numer of labeled samples:9890   AUC:0.933
Numer of labeled samples:9905   AUC:0.938
Numer of labeled samples:9885   AUC:0.934
Numer of labeled samples:9922   AUC:0.938
Numer of labeled samples:9882   AUC:0.936
Numer of labeled samples:9917   AUC:0.937
Numer of labeled samples:9861   AUC:0.937
